id,altitud,indicativo,indsinop,latitud,longitud,nombre,provincia,N/S,Cardinalidad,Lat_normalizada,Lon_normalizada,NS,EO
0,98,1387E,08002,431825N,082219W,A CORUÑA AEROPUERTO,A CORUÑA,N,N,43.1825,-8.2219,N,W
1,58,1387,08001,432157N,082517W,A CORUÑA,A CORUÑA,N,N,43.2157,-8.2517,N,W
2,50,1393,08006,430938N,091239W,CABO VILAN,A CORUÑA,N,N,43.0938,-9.1239,N,W
3,80,1351,08004,434710N,074105W,ESTACA DE BARES,A CORUÑA,N,N,43.471,-7.4105,N,W
4,230,1400,08040,425529N,091729W,FISTERRA,A CORUÑA,N,N,42.5529,-9.1729,N,W
5,685,1437O,08043,424314N,085524W,MONTE IROITE,A CORUÑA,N,N,42.4314,-8.5524,N,W
6,100,1473A,08039,424418N,083738W,PADRÓN,A CORUÑA,N,N,42.4418,-8.3738,N,W
7,370,1428,08042,425317N,082438W,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,N,N,42.5317,-8.2438,N,W
8,240,1475X,08041,425234N,083321W,SANTIAGO DE COMPOSTELA,A CORUÑA,N,N,42.5234,-8.3321,N,W
9,702,8175,08280,385715N,015123W,ALBACETE BASE AÉREA,ALBACETE,N,N,38.5715,-1.5123,N,W
10,676,8178D,08279,390020N,015144W,ALBACETE,ALBACETE,N,N,39.002,1.5144,N,
11,880,8177A,08278,385609N,013936W,CHINCHILLA,ALBACETE,N,N,38.5609,-1.3936,N,W
12,646,7096B,08355,383231N,014211W,HELLÍN,ALBACETE,N,N,38.3231,-1.4211,N,W
13,81,8025,08359,382221N,002939W,ALICANTE/ALACANT,ALICANTE,N,N,38.2221,-0.2939,N,W
14,43,8019,08360,381658N,003415W,ALICANTE-ELCHE AEROPUERTO,ALICANTE,N,N,38.1658,-0.3415,N,W
15,15,8050X,08370,384701N,001004E,JÁVEA/ XÀBIA,ALICANTE,N,N,38.4701,0.1004,N,E
16,575,7247X,08357,382359N,010217W,PINOSO ,ALICANTE,N,N,38.2359,-1.0217,N,W
17,869,6302A,08427,370829N,024647W,ABLA,ALMERIA,N,N,37.0829,-2.4647,N,W
18,8,6277B,08486,364450N,030114W,ADRA,ALMERIA,N,N,36.445,-3.0114,N,W
19,15,6381,08490,355618N,030210W,ALBORÁN,ALMERIA,N,N,35.5618,-3.021,N,W
20,21,6325O,08487,365047N,022125W,ALMERÍA AEROPUERTO,ALMERIA,N,N,36.5047,-2.2125,N,W
21,7,6297,,364952N,022720W,ALMERÍA,ALMERIA,N,N,36.4952,-2.272,N,W
22,16,6332X,08488,365849N,015413W,CARBONERAS,ALMERIA,N,N,36.5849,-1.5413,N,W
23,300,6367B,08428,372326N,015637W,HUÉRCAL-OVERA,ALMERIA,N,N,37.2326,-1.5637,N,W
24,3,6293X,08492,364113N,024206W,ROQUETAS DE MAR,ALMERIA,N,N,36.4113,-2.4206,N,W
25,513,9091O,08080,425255N,024406W,FORONDA-TXOKIZA,ARABA/ALAVA,N,N,42.5255,-2.4406,N,W
26,521,9087,,425059N,023922W,VITORIA AERÓDROMO,ARABA/ALAVA,N,N,42.5059,-2.3922,N,W
27,513,9091R,08080,425219N,024358W,VITORIA GASTEIZ AEROPUERTO,ARABA/ALAVA,N,N,42.5219,-2.4358,N,W
28,127,1212E,08011,433401N,060239W,ASTURIAS AEROPUERTO,ASTURIAS,N,N,43.3401,-6.0239,N,W
29,60,1283U,08010,433409N,062812W,CABO BUSTO,ASTURIAS,N,N,43.3409,-6.2812,N,W
30,100,1210X,08012,433921N,055055W,CABO PEÑAS,ASTURIAS,N,N,43.3921,-5.5055,N,W
31,40,1331A,08009,433129N,070153W,CASTROPOL,ASTURIAS,N,N,43.3129,-7.0153,N,W
32,26,1207U,08014,433123N,053716W,"GIJÓN, CAMPUS",ASTURIAS,N,N,43.3123,-5.3716,N,W
33,22,1208A,,433230N,053943W,GIJÓN. LA MERCED,ASTURIAS,N,N,43.323,-5.3943,N,W
34,5,1208H,08014,433336N,054203W,"GIJÓN, PUERTO",ASTURIAS,N,N,43.3336,-5.4203,N,W
35,3,1208,,433220N,053815W,GIJÓN,ASTURIAS,N,N,43.322,-5.3815,N,W
36,10,1183X,08016,432513N,044453W,LLANES,ASTURIAS,N,N,43.2513,-4.4453,N,W
37,336,1249I,08015,432112N,055227W,OVIEDO,ASTURIAS,N,N,43.2112,-5.5227,N,W
38,336,1249X,08015,432112N,055227W,OVIEDO,ASTURIAS,N,N,43.2112,-5.5227,N,W
39,1480,1221D,08031,425843N,054635W,PAJARES-VALGRANDE,ASTURIAS,N,N,42.5843,-5.4635,N,W
40,1530,1542,08052,425939N,062451W,PUERTO DE LEITARIEGOS,ASTURIAS,N,N,42.5939,-6.2451,N,W
41,1143,2444C,,403924N,044201W,"ÁVILA, AYUNTAMIENTO",AVILA,N,N,40.3924,-4.4201,N,W
42,1130,2444,08210,403933N,044048W,ÁVILA,AVILA,N,N,40.3933,-4.4048,N,W
